Rank,Recommendation,P(GO) %,Title,Country,Sector,Procurement,Funding Agency,Budget,Days to Deadline,Model Version,Scored At,Source Portal,Source URL
507,NO GO 🔴,4.3%,Technical Assistance for the Scale-up of Teaching at the Right Level (TaRL) Approach in Balochistan (for Pakistan based firms and companies),Pakistan,Education & Training,CONSULTING,UNICEF,Unknown,14,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299308
508,NO GO 🔴,4.3%,Consultancy for Strengthening Foundational Learning Design and Teaching (For Pakistan based firms and companies),Pakistan,Education & Training,CONSULTING,UNICEF,Unknown,14,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299310
509,NO GO 🔴,4.3%,Hiring of agency for Strengthening STEM Teaching-Learning among Secondary School Teachers in Tamil Nadu,India,Education & Training,CONSULTING,UNICEF,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299206
510,NO GO 🔴,4.3%,Video institucional p/ promover a México como destino de inversión,Mexico,Others,CONSULTING,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44995
511,NO GO 🔴,4.2%,ICT equipment for the Somaliland Police/MOI,Somalia,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,3,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45131
512,NO GO 🔴,4.2%,& Life‑Science Laboratory Equipment,Lesotho,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,3,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45045
513,NO GO 🔴,4.2%,Matériels de rangement des archives & d’équipements d’interconnexion pour une li,Chad,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,11,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45204
514,NO GO 🔴,4.2%,Meubles de bureau du projet DDR,Chad,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45068
515,NO GO 🔴,4.2%,"GED-RFQ-Supply, delivery and installation of chiller for MRI cooling in FHS SA",Bosnia And Herzegovina,N/A,WORKS,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45171
516,NO GO 🔴,4.2%,Improvement works at the Othello Park in Famagusta,Cyprus,N/A,WORKS,United Nations Development Programme (UNDP),Unknown,18,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45172
517,NO GO 🔴,4.2%,"RFQ_Design, supply and installation of photovoltaic systems in three education f",Albania,N/A,WORKS,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45180
518,NO GO 🔴,4.2%,Integration of the CCM's CCLD and public health instituti,Montenegro,N/A,WORKS,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45046
519,NO GO 🔴,4.2%,SOLICITUD DE COMPRA DE INSUMOS NUTRICIONALES PARA NIÑOS RECIEN NACIDOS,Equatorial Guinea,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45118
520,NO GO 🔴,4.2%,Girls Empowerment and Quality Education for All Project,Sao Tome And Principe,Education & Training,WORKS,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437392
521,NO GO 🔴,4.1%,Mise en place d’un plan d’évacuation d’urgence et la mise à jour du dispositif de sécurité incendie Bureau pays de la Food and Agriculture Organization,Burkina Faso,N/A,WORKS,FAO,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299936
522,NO GO 🔴,4.1%,"REHABILITATION OF OLPUSIMORU SPRING AND COMMUNITY BOREHOLE WATER PROJECT IN OLDERKESI, NAROK COUNTY (2026/230)",Kenya,N/A,WORKS,FAO,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299623
523,NO GO 🔴,4.1%,Travaux d’aménagement du site de production des pépinières forestières de la direction régionale de l’environnement et des ressources forestières des plateaux ouest,Togo,N/A,WORKS,FAO,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299578
524,NO GO 🔴,4.1%,"2026/231 Construction of Shompole Market and Water Infrastructure Development In Magadi Ward, Kajiado County",Kenya,N/A,WORKS,FAO,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299858
525,NO GO 🔴,4.1%,Mozambique Climate Resilient Infrastructure: Preparation of Guidance for Design of Climate-Resilient Infrastructures - Songo - Matambo Transmission Line Project,Mozambique,Environment & Climate,WORKS,African Development Bank (AfDB),Unknown,20,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-mozambique-climate-resilient-infrastructure-preparation-guidance-design-climate-resilient-infrastructures-songo-matambo-transmission-line-project
526,NO GO 🔴,4.1%,Guinée Réalisation des travaux des infrastructures de navigation (Débarcadères et Quais) dans les Préfectures de Kankan et Kouroussa,Guinée,Environment & Climate,WORKS,African Development Bank (AfDB),Unknown,8,2,2026-05-06,afdb,https://www.afdb.org/en/documents/aao-guinee-realisation-des-travaux-des-infrastructures-de-navigation-debarcaderes-et-quais-dans-les-prefectures-de-kankan-et-kouroussa-pidacc-bn
527,NO GO 🔴,4.1%,Digital and Energy Connectivity for Inclusion in Madagascar Project,Madagascar,Energy & Utilities,GOODS,World Bank,"3,400,000 EUR",22,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437450
528,NO GO 🔴,4.0%,Southern Africa Trade and Connectivity Project,Southern Africa,Enterprise IT & Systems Implementation,GOODS,World Bank,Unknown,21,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441268
529,NO GO 🔴,3.9%,Burundi Jobs and Economic Transformation Project,Burundi,"Organizational Reform & HR Management, Construction & Infrastructure",WORKS,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438476
530,NO GO 🔴,3.9%,"PROVISION OF DUTY FREE (PX) SERVICES to MINURSO, LAAYOUNE",Western Sahara,Social Protection & Poverty Reduction,NON-CONSULTING,UN Secretariat,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299278
531,NO GO 🔴,3.8%,"ITB FOR DRILLING, CONSTRUCTION, DEVELOPMENT AND TESTING OF WATER PRODUCTION BOREHOLES",Gambia,N/A,WORKS,FAO,Unknown,10,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299606
532,NO GO 🔴,3.8%,APPEL D’OFFRE REF. 2026_FRCAF_FRCAF_136694 POUR LES TRAVAUX DE RENOVATION D’UNE SALLE AU MINISTERE DE L’ELEVAGE ET DE LA SANTE ANIMALE A BANGUI EN RÉPUBLIQUE CENTRAFRICAINE,Central African Republic,N/A,WORKS,FAO,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299582
533,NO GO 🔴,3.7%,Stormwater Management and Climate Change Adaptation Project 2,Senegal,Environment & Climate,GOODS,World Bank,"205,000,000 XOF",22,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00435532
534,NO GO 🔴,3.7%,"Bénin Acquisition d’équipements de pré-collecte et collecte de transport des déchets (outillages, tricycles et camions lève conteneurs, 2 essieux et 3 essieux)",Bénin,"Water, Sanitation & Waste",WORKS,African Development Bank (AfDB),Unknown,20,2,2026-05-06,afdb,https://www.afdb.org/en/documents/aoi-benin-acquisition-dequipements-de-pre-collecte-et-collecte-de-transport-des-dechets-outillages-tricycles-et-camions-leve-conteneurs-2-essieux-et-3-essieux-papvs
535,NO GO 🔴,3.7%,RFP for Systems Administration Services – Microsoft Technologies,Italy,N/A,CONSULTING,ITC-ILO,Unknown,54,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299852
536,NO GO 🔴,3.5%,B2B Marketing Campaigns and Events,China,N/A,NON-CONSULTING,UNICEF,Unknown,15,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299476
537,NO GO 🔴,3.5%,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,Health & Life Sciences,GOODS,World Bank,Unknown,28,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440154
538,NO GO 🔴,3.4%,RFI - Plastic Recycling Machinery for the benefit of MSMEs in Libya,Libya,N/A,GOODS,UNOPS,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299375
539,NO GO 🔴,3.4%,ITB Goods- Provision and Installation of a firearms training simulator,Morocco,N/A,GOODS,UNOPS,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299568
540,NO GO 🔴,3.4%,Internet Access Services,Switzerland,Telecommunications,NON-CONSULTING,ITU,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/298864
541,NO GO 🔴,3.4%,Achat de plusieurs appareils de laboratoire pour la médecine légale et services connexes en Tunisie,Tunisia,N/A,GOODS,UNOPS,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299406
542,NO GO 🔴,3.4%,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,40,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442265
543,NO GO 🔴,3.4%,SADC Regional Statistics Project,Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,25,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442255
544,NO GO 🔴,3.4%,Access to Finance & Economic Opportunities Project – Mais Oportunidades,Mozambique,N/A,GOODS,World Bank,Unknown,21,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442126
545,NO GO 🔴,3.4%,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,35,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442241
546,NO GO 🔴,3.4%,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,34,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442231
547,NO GO 🔴,3.4%,Regional Climate Resilience Program for Eastern and Southern Africa 1 Project (RCRP1),Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,33,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442327
548,NO GO 🔴,3.4%,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,34,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442203
549,NO GO 🔴,3.4%,Improving Learning and Empowering Girls in Mozambique,Mozambique,N/A,GOODS,World Bank,Unknown,23,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442271
550,NO GO 🔴,3.4%,Sierra Leone - Quality Essential Health Services and Systems Support Project,Sierra Leone,N/A,GOODS,World Bank,Unknown,27,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442730
551,NO GO 🔴,3.4%,Africa Centres for Disease Control Support Program to Combat Current and Future Public Health Threat,Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,33,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441886
552,NO GO 🔴,3.4%,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,35,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442248
553,NO GO 🔴,3.4%,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,40,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442259
554,NO GO 🔴,3.4%,Adolescent Girls Initiative for Learning and Empowerment,Nigeria,N/A,GOODS,World Bank,Unknown,26,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442394
555,NO GO 🔴,3.4%,Health Security Program in Western and Central Africa - Phase III,Western And Central Africa,N/A,GOODS,World Bank,Unknown,28,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442257
556,NO GO 🔴,3.4%,Enhancing Connectivity and Resilience in the Far North of Cameroon for Inclusiveness Project,Cameroon,N/A,GOODS,World Bank,Unknown,28,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441801
557,NO GO 🔴,3.4%,Africa Centres for Disease Control Support Program to Combat Current and Future Public Health Threat,Eastern And Southern Africa,N/A,GOODS,World Bank,Unknown,33,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441896
558,NO GO 🔴,3.4%,Mozambique Urban Development and Decentralization Project,Mozambique,N/A,GOODS,World Bank,Unknown,33,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439154
559,NO GO 🔴,3.4%,Malawi Construction of Public Sanitation Facilities in Rumphi District,Malawi,"Water, Sanitation & Waste",WORKS,African Development Bank (AfDB),Unknown,6,2,2026-05-06,afdb,https://www.afdb.org/en/documents/spn-malawi-construction-public-sanitation-facilities-rumphi-district-rwssip
560,NO GO 🔴,3.4%,Livestock Productivity and Resilience Support Project,Nigeria,Agriculture & Food Security,WORKS,World Bank,"120,000 NGN",6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438956
561,NO GO 🔴,3.4%,Livestock Productivity and Resilience Support Project,Nigeria,Agriculture & Food Security,WORKS,World Bank,"100,000 NGN",13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440066
562,NO GO 🔴,3.4%,SERVICIOS DE CATERING EN DEPARTAMENTO DE COLÓN,Honduras,Risk & Compliance,NON-CONSULTING,UNFPA,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299276
563,NO GO 🔴,3.4%,Livestock Productivity and Resilience Support Project,Nigeria,Agriculture & Food Security,WORKS,World Bank,"100,000 NGN",8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438881
564,NO GO 🔴,3.4%,Livestock Productivity and Resilience Support Project,Nigeria,Agriculture & Food Security,WORKS,World Bank,"120,000 NGN",5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438958
565,NO GO 🔴,3.3%,Seismic Resilience and Energy Efficiency in Public Buildings Project,Turkiye,Construction & Infrastructure,WORKS,World Bank,"21,000,000 DZD",15,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441093
566,NO GO 🔴,3.3%,Girls Empowerment and Learning for All Project,Angola,Education & Training,WORKS,World Bank,Unknown,21,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438306
567,NO GO 🔴,3.3%,Uganda Secondary Education Expansion Project,Uganda,Education & Training,WORKS,World Bank,Unknown,22,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00436132
568,NO GO 🔴,3.2%,L’amélioration du processus de délivrance des permis de bâtir à Kairouan,Tunisia,Construction & Infrastructure,WORKS,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44676
569,NO GO 🔴,3.2%,Senegal River Valley Development and Resilience Project,Western And Central Africa,Agriculture & Food Security,GOODS,World Bank,"12,840,000 XOF",12,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00404370
570,NO GO 🔴,3.1%,Montenegro Energy Sector Decarbonization Project,Montenegro,Energy & Utilities,GOODS,World Bank,"6,000,000 EUR",13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437138
571,NO GO 🔴,3.1%,Unleashing the Blue Economy of the Caribbean (UBEC),Caribbean,Environment & Climate,CONSULTING,World Bank,Unknown,42,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440463
572,NO GO 🔴,3.1%,"Supply, Delivery, and Installation of 645 Public Sector PV Systems (Phase1) SREP",N/A,"Social Protection & Poverty Reduction, Government Reform & Public Administration",WORKS,African Development Bank (AfDB),Unknown,21,2,2026-05-06,afdb,https://www.afdb.org/en/documents/spn-supply-delivery-and-installation-645-public-sector-pv-systems-phase1-srep
573,NO GO 🔴,3.1%,PROVISION OF HOTEL SERVICES,Italy,Social Protection & Poverty Reduction,NON-CONSULTING,IOM,Unknown,13,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299245
574,NO GO 🔴,3.1%,002- Long term agreement for roster of Interpreters and Translators,Mongolia,Others,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44968
575,NO GO 🔴,3.1%,002 Provision of Hotel Accommodation for COP17 Mongolia,Mongolia,Others,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44922
576,NO GO 🔴,3.0%,Beginning Meaningful Conversations (with Parents and Youth),Philippines,Education & Training,CONSULTING,UNFPA,Unknown,6,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299141
577,NO GO 🔴,3.0%,Bid for Supply of Solar PV system installation Wa Technical Institute in Upper West Region,Ghana,N/A,GOODS,ILO,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299425
578,NO GO 🔴,3.0%,"Provision of works on improvement of the heating systems at six locations (DHS) in Skopje, North Macedonia(UNOPS-CLA-2026-W-005)",North Macedonia,N/A,WORKS,UNOPS,Unknown,18,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299940
579,NO GO 🔴,3.0%,"RFQ_ Supply, delivery, Installation Furniture, Shelving units and Curtains for Yatta Vocational School- Yatta-Hebron Governorate",Multiple Destinations,N/A,WORKS,UNOPS,Unknown,6,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299614
580,NO GO 🔴,3.0%,Khyber Pakhtunkhwa Rural Investment and Institutional Support Project,Pakistan,"Social Protection & Poverty Reduction, Agriculture & Food Security",NON-CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439948
581,NO GO 🔴,2.9%,"Fourniture, transport et livraison sur site de matériaux de construction",Cameroon,Construction & Infrastructure,WORKS,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44972
582,NO GO 🔴,2.9%,Travaux de réalisation d'une clôture au poste frontalier de Kosso,Burkina Faso,Construction & Infrastructure,WORKS,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45005
583,NO GO 🔴,2.9%,LONG TERM AGREEMENT - Technical Building & Facilities Maintenance,Nigeria,Construction & Infrastructure,WORKS,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44669
584,NO GO 🔴,2.9%,"Consultancy Services for Climate Adaptation Planning (in Punjab), Capacity Building & Legal Framework Review (KP & Balochistan) and M&E Framework Development for UNEP-Pakistan",Pakistan,Environment & Climate,CONSULTING,UN Secretariat,Unknown,2,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299236
585,NO GO 🔴,2.9%,"Acquisition et livraison d’équipements agricoles multifonctionnels pour les coopératives rurales / Supply and delivery of multifunctional agricultural equipment for rural cooperatives – Incoterms® 2020 FCA ou / or CPT N’Djamena, Tchad / N’Djamena, Chad",Chad,N/A,GOODS,UNOPS,Unknown,14,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299778
586,NO GO 🔴,2.9%,Supply and Delivery of Mechanical Workshop Equipment For SNA- Mogadishu- Somalia,Somalia,N/A,GOODS,UNOPS,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299701
587,NO GO 🔴,2.8%,Sub-Saharan Africa Women’s Empowerment and Demographic Dividend Plus Project,Western And Central Africa,"Health & Life Sciences, Social Protection & Poverty Reduction",GOODS,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438832
588,NO GO 🔴,2.8%,Support for Resilient Livelihoods in the South of Madagascar - MIONJO Project,Madagascar,Social Protection & Poverty Reduction,GOODS,World Bank,Unknown,20,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440206
589,NO GO 🔴,2.8%,Democratic Republic of the Congo Construction du Centre de Promotion de l’Entrepreneuriat des Jeunes en Agro-Business (CPEJAB) au Kasaï Oriental,Democratic Republic Of The Congo,"Enterprise IT & Systems Implementation, Agriculture & Food Security",WORKS,African Development Bank (AfDB),"33,000 USD",12,2,2026-05-06,afdb,https://www.afdb.org/en/documents/aao-rdc-construction-du-centre-de-promotion-de-lentrepreneuriat-des-jeunes-en-agro-business-cpejab-au-kasai-oriental-pagdc-pta
590,NO GO 🔴,2.8%,Democratic Republic of the Congo Construction du Centre de Promotion de l’Entrepreneuriat des Jeunes en Agro-Business (CPEJAB) au Kongo Central,Democratic Republic Of The Congo,"Agriculture & Food Security, Enterprise IT & Systems Implementation",WORKS,African Development Bank (AfDB),"33,000 USD",12,2,2026-05-06,afdb,https://www.afdb.org/en/documents/aao-rdc-construction-du-centre-de-promotion-de-lentrepreneuriat-des-jeunes-en-agro-business-cpejab-au-kongo-central-pagdc-pta
591,NO GO 🔴,2.7%,Girls Empowerment and Learning for All Project,Angola,Education & Training,GOODS,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00434990
592,NO GO 🔴,2.7%,Pre-Qualification of Construction Companies for Civil Works Services in South Su,South Sudan,Construction & Infrastructure,WORKS,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44615
593,NO GO 🔴,2.7%,Access and Renewable Increase for Sustainable Energy Project,Federated States of Micronesia,Energy & Utilities,WORKS,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439651
594,NO GO 🔴,2.7%,Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP,Eastern And Southern Africa,Agriculture & Food Security,WORKS,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439733
595,NO GO 🔴,2.7%,Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP,Eastern And Southern Africa,Agriculture & Food Security,WORKS,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439736
596,NO GO 🔴,2.7%,Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP,Eastern And Southern Africa,Agriculture & Food Security,WORKS,World Bank,Unknown,10,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438265
597,NO GO 🔴,2.7%,Livestock Productivity and Resilience Support Project,Nigeria,Agriculture & Food Security,WORKS,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440612
598,NO GO 🔴,2.7%,Uganda Climate Smart Agricultural Transformation Project,Uganda,Agriculture & Food Security,WORKS,World Bank,Unknown,20,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438171
599,NO GO 🔴,2.7%,Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP,Eastern And Southern Africa,Agriculture & Food Security,WORKS,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00436513
600,NO GO 🔴,2.6%,Accelerating Agrifood Transformation for Jobs & Rural Prosperity in Turkiye,Turkiye,N/A,GOODS,World Bank,Unknown,15,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441865
601,NO GO 🔴,2.6%,CAR-Electricity Sector Strengthening and Access Project,Central African Republic,Energy & Utilities,GOODS,World Bank,Unknown,16,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437428
602,NO GO 🔴,2.6%,Accelerating Agrifood Transformation for Jobs & Rural Prosperity in Turkiye,Turkiye,N/A,GOODS,World Bank,Unknown,15,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441871
603,NO GO 🔴,2.6%,Ukraine Improving Higher Education for Results Project,Ukraine,N/A,GOODS,World Bank,Unknown,12,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441923
604,NO GO 🔴,2.6%,Lifting Education Access and Resilience in times of Need in Ukraine Program,Ukraine,N/A,GOODS,World Bank,Unknown,16,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442411
605,NO GO 🔴,2.6%,Procurement of Diesel Generators (22KVA) and Power Cables,Palestinian Territories,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45060
606,NO GO 🔴,2.6%,TRANSPORT FOR 100% POSITIONING OF MILDAS TO DISTRIBUITIONS POINTS,Guinea-Bissau,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45139
607,NO GO 🔴,2.6%,Vehicle maintenance and repair services for UNDP Libya car fleet,Libya,Transport & Logistics,GOODS,United Nations Development Programme (UNDP),Unknown,14,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45004
608,NO GO 🔴,2.5%,"LRPS-2026-9203772-Establishment of a Long-Term Agreement (LTA) for the HR, Financial, Administrative, and Logistics Management of Third-Party Personnel",Pakistan,N/A,NON-CONSULTING,UNICEF,Unknown,22,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299681
609,NO GO 🔴,2.5%,Procurement of 500 Ovine Watering Troughs,Turkey,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45103
610,NO GO 🔴,2.5%,Procurement of Cisco Breach Protection Security Suite,Ukraine,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45064
611,NO GO 🔴,2.5%,Supply of bee colonies and their placement in the PPU beehives,Armenia,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45059
612,NO GO 🔴,2.5%,RFQ_Purchase of ranger kits for 6 RAPAs and Vjosa National Park Administration,Albania,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45179
