title,portal,current_db_group,predicted_group,decided_by,needs_groq,nlp_gap
Legal Consultant Drafting of Consumer Credit Bill,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Provision of a software as a service (SaaS) Tool to provide media monitoring and sentiment analysis tool for the CTBTO,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Internal Rehabilitation of the Passenger Building at Mar Mikhael Train Station, Beirut, Lebanon",ungm,WORKS,WORKS,Layer 1,False,1.0
RFQ No. 2026-0011/STOMOV: Service Maintenance of Security & Surveillance System RE-BID2,ungm,GOODS,NON-CONSULTING,NLP,False,0.0754
Open Source Defense and Security Data,ungm,Others,CONSULTING,NLP,True,0.0162
RFQ - Servicios de Recolección de Información y Monitoreo Territorial utilizando Metodologías de la Matriz de Seguimiento de Desplazamiento (DTM) en Guatemala,ungm,GOODS,NON-CONSULTING,NLP,True,0.0235
Provision of Consultancy services to carry out a National Inventory of Banks of used of unwanted controlled substances: Ozone deplet ing substances and HFCs,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
“Solicitud de Cotización de Insumos y Equipo de Tecnología”,ungm,GOODS,GOODS,NLP,False,0.0223
"REF. NO: UNHCR_RFQ_2641 FOR THE SUPPLY AND DELIVERY OF DIAPERS (ADULTS & BABIES) FOR UNHCR ALEPPO SUB-OFFICE, SYRIA",ungm,GOODS,GOODS,Layer 1,False,1.0
"Contract for the provision of Content Dissemination Services on TV, Online News Platforms and Newspapers in Mongolia",ungm,Others,NON-CONSULTING,NLP,False,0.0765
"Event Management Services-Ba Vi, Son Tay, Hanoi, Viet Nam",ungm,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
SELECTION D’UN PRESTATAIRE POUR FOURNITURE CONNEXION INTERNET PAR FIBRE OPTIQUE,ungm,GOODS,GOODS,NLP,False,0.0376
Recruitment of a Communications/Public Relations Firm for Photography and Vide,ungm,Others,CONSULTING,NLP,True,0.0118
PROVISION OF TWO (2) CLOSED-CIRCUIT REBREATHERS (CCR) FOR THE MALDIVES NATIONAL DEFENCE FORCE (MNDf) COAST GUARD,ungm,Others,WORKS,NLP,False,0.0056
Consultoría Externa: Apoyo Comunicaciones Proyecto “Fijación de salarios/ingresos vitales con enfoque en la agricultura (SAW-A) y “Fijación de Salarios Adecuados: un enfoque en el sector bananero” (SAW‑B),ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Compra de fertilizantes para entregar en Ahuachapán, El Salvador, bajo el proyecto CERF",ungm,GOODS,GOODS,NLP,False,0.1119
"“Adquisición de semilla certificada de maíz mejorado, variedad H-59, para entregar en Ahuachapán, El Salvador, bajo el proyecto CERF”",ungm,GOODS,GOODS,Layer 1,False,1.0
"Suministro de equipos médicos y hospitalarios con pre-instalación para el Hospital Santiago Apóstol, Bagua Grande - Utcubamba. DIRESA Amazonas, Perú",ungm,GOODS,GOODS,Layer 1,False,1.0
Provision of Comprehensive Property All Risk Insurance Coverage for International Organization for Migration Somalia,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
"Convocatoria de colaborador externo – Diagnóstico y fortalecimiento de capacidades para la prevención del trabajo infantil y el trabajo forzoso en el sector agrícola del Valle de San Quintín, Baja California",ungm,Others,CONSULTING,NLP,True,0.003
"“Adquisición de aves de 03 semanas e insumos para entregar en Ahuachapán, El Salvador, bajo el proyecto CERF”",ungm,GOODS,GOODS,Layer 1,False,1.0
ITB 018.2026 LTA SERVICIO CONCESIONARIA DE ATENCIÓN DE CAFETERÍA PARA LA OFICINA DE Food and Agriculture Organization LA PAZ BOLIVIA,ungm,WORKS,GOODS,NLP,False,0.0083
Convocatoria Contratación Servicios Hoteleros para Desarrollo Diplomado Ruralia en Santa Marta,ungm,Others,NON-CONSULTING,NLP,False,0.0526
Convocatoria de colaborador/a externo/a – Revisión técnico‑editorial y substantiva de manuscrito en portugués,ungm,Others,CONSULTING,NLP,False,0.0697
Aquisição de camas hospitalares para o Hospital Santa Casa de Uruguaiana - RS (Brasil) | Procurement of hospital beds for Santa Casa de Uruguaiana Hospital - RS (Brazil),ungm,GOODS,GOODS,Layer 1,False,1.0
"136175 INSUMOS AGRÍCOLAS Y HERRAMIENTAS, CASANARE",ungm,GOODS,GOODS,NLP,False,0.0136
"RFP/WCO-TZA/005/2026 - Provision of event organizing and management services for the 3rd International Conference on the PEN-Plus regional strategy to address severe NCDs in Africa to be conducted in Dar es Salaam, Tanzania",ungm,CONSULTING,NON-CONSULTING,NLP,True,0.009
"Adquisición de Mobiliario No Médico para el Hospital Materno Infantil ""María Humphreys"" (Provincia de Chubut)",ungm,GOODS,GOODS,Layer 1,False,1.0
"RFP/WCO-TZA/004/2026 - Provision of conference, accommodation and related services for the 3rd International Conference on the PEN-Plus regional strategy to address severe NCDS in Africa to be conducted in Dar es Salaam, Tanzania",ungm,CONSULTING,CONSULTING,NLP,True,0.0127
"Rapid Assessment of Collective Bargaining Agreements in Cocoa and Artisanal Mining Sectors in Nigeria: Inclusion of Fundamental Principles and Rights at Work (FPRW), April- May 2026",ungm,CONSULTING,GOODS,NLP,False,0.0151
Pre-construction Site Assessment and Preparation of Technical Documentation,ungm,WORKS,CONSULTING,Layer 1,False,1.0
"Convocatoria - - Elaboración de estudio técnico y recomendaciones para la Cámara de Comercio y Servicios del Uruguay (CCSU) y la Cámara de Industrias de Uruguay (CIU) sobre negociación colectiva y aplicación de los Convenios 87, 98 en",ungm,Others,CONSULTING,Layer 1,False,1.0
Appel à collaborateur extérieure - Etude actuarielle du système de couverture du risque maladie au Sénégal,ungm,CONSULTING,CONSULTING,NLP,True,0.0188
Appel à collaborateur extérieur - Gestion du programme HIMO et la mobilisation des ressources,ungm,CONSULTING,CONSULTING,NLP,False,0.0725
"Supply and Delivery of Medicine for MHU, Kabul, Afghanistan",ungm,GOODS,GOODS,Layer 1,False,1.0
ROLAC - Convocatoria de Servicios - Desarrollo y Piloto de la Plataforma Digital del Sector Confección (Fase II – Solución Innovadora),ungm,GOODS,CONSULTING,NLP,True,0.009
RFP-2026-237-Drupal Development & Support,ungm,CONSULTING,CONSULTING,NLP,False,0.0375
"Procurement of Development Services for Seven (7) 2D Animated Videos in Close Coordination with Food and Agriculture Organization, According to Provided Briefs and Technical Specifications (Open to local suppliers, applications from international suppliers will not be accepted)",ungm,GOODS,GOODS,Layer 1,False,1.0
"Contratación de Servicios para la Implementación, Monitoreo y Evaluación de los Programas Educativos del Centro Ambiental Tekotopa",ungm,Others,CONSULTING,NLP,False,0.0666
Supply and Delivery of UPS (For Sri Lankan Suppliers only),ungm,GOODS,GOODS,Layer 1,False,1.0
RFP2026/FRNIR/FRNIR/136203 for Provision of Data Collection Services for 2025 Rainy Season Post Harvest Survey,ungm,CONSULTING,CONSULTING,NLP,False,0.0365
"Supply and installation of a 33/0.4kV, 500kVA outdoor plinth-mounted distribution substation",ungm,WORKS,WORKS,Layer 1,False,1.0
Emergency Procurement: Provision of Autoclave (500 L) and Biochemical analyzer to Kharkiv oblast,ungm,Others,GOODS,NLP,False,0.0589
"Call for Consultant: Development of State Employment Action Plans, Nigeria",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Call for Consultancy: To Support the institutional capacity of Job Centres and Migrant Resource Centres (MRCs) on Remote Work Employability, Green and Circular Economy employment opportunities NGA",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Design, Development, Testing, Implementation, and Maintenance of the Digital Health Information Warehouse for Secondary Data Use for the Ministry of Health and Mass Media, Sri Lanka",ungm,Others,NON-CONSULTING,NLP,False,0.0403
"PROCUREMENT FOR THE PROVISION OF SAFEGUARDING, STOWAGE AND DISPOSAL OF OBSOLETE PESTICIDES STOCKS IN LEBANON - ITB - 2026/FNLEB/FNLEB/136071",ungm,GOODS,GOODS,NLP,False,0.0246
RFQ for Medical Equipments and distribute as part of the JSB Thailand - Combodia,ungm,GOODS,GOODS,Layer 1,False,1.0
"Purchasing Mattresses, Kitchen Kits & Tarpaulins",ungm,GOODS,GOODS,NLP,False,0.1877
LRPS-2026-9203036_Establishing LTA for Digital Advertising and Influencer Partnerships for UNICEF Pakistan,ungm,Others,CONSULTING,NLP,True,0.012
ITB: Procurement of Fire Equipment,ungm,GOODS,GOODS,Layer 1,False,1.0
"Support Services in Assets Management Unit at ESCAP, Bangkok",ungm,Others,CONSULTING,NLP,False,0.0482
Consultancy services: strategic transformation of the UPU headquarters building,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"UNFPA-PAK-ITB-26-002 for Customs Clearance, Warehousing, and Transportation for UNFPA",ungm,Others,NON-CONSULTING,NLP,False,0.0429
Local transfers and catering services in Portugal,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
"Long-term Agreement for services and works related to checking and closing of fire bulkheads at the Vienna International Centre, Aus tria, for an initial contract period of two (2) years with possibility of extension up to a total period of three (3) years",ungm,Others,CONSULTING,NLP,True,0.0149
"SUIVI-CONTRÔLE DES TRAVAUX DE CONSTRUCTION D’INFRASTRUCTURES EDUCATIVES DANS LES REGIONS DU GULMU, NAKAMBE, SOUROU, LIPTAKO, YAADGA, DE LA SIRBA, DE L’OUBRI ET DES KUILSE",ungm,WORKS,WORKS,Layer 1,False,1.0
"Consultoría: Diseño y Validación de un Modelo educativo para la atención integral y de calidad de niños, niñas de 0 a 6 años fuera del sistema escolar o con rezago. LRPS-2026-9203115",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Construction de 10 forages d'une pompe à motricité humaine au Ouaddai,ungm,WORKS,WORKS,Layer 1,False,1.0
recrutement d’un centre d’accompagnement horticole dans le cadre d’une prestation de service,ungm,Others,CONSULTING,NLP,False,0.0818
provision of PHARMACEUTICALS and MEDICAL EQUIPMENT,ungm,GOODS,GOODS,Layer 1,False,1.0
"MISE EN PLACE D'UN OU DES ACCORD (S) A LONG TERME (LTA) DE 24 MOIS RENOUVELABLE 72 MOIS, POUR LA FOURNITURE ET LIVRAISON DES ARTICLES ET MATERIELS DE VISIBILITE DIVERS",ungm,GOODS,GOODS,Layer 1,False,1.0
Vaccination Services,ungm,Others,NON-CONSULTING,NLP,True,0.0337
Purchase of cocoa and coffee processing equipment in Cameroon - UNIDO Project 230340,ungm,GOODS,GOODS,Layer 1,False,1.0
Braille Materials,undp,GOODS,GOODS,NLP,False,0.059
Design and develop an Incident Reporting Mobile Application,undp,CONSULTING,CONSULTING,NLP,True,0.0204
041 - Consultant to guide project outputs and knowledge products,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National IC for EIA Study: Upper Air Station (Mtwara) and Guard House (Masasi),undp,CONSULTING,CONSULTING,NLP,True,0.0183
"ORGANISATION DE SERIE DE DIALOGUES ""PARLONS DEVELOPPEMENT 2026""",undp,Others,CONSULTING,NLP,False,0.0538
011 - Develop Regulations on Governance of Herder Development Fund,undp,CONSULTING,CONSULTING,NLP,False,0.1404
RFQ_004_2026_National Supplier to supply the Neutralization of the chemicals,undp,GOODS,GOODS,NLP,False,0.0857
RFQ-SUPPLYING AND APPLICATION OF SAND EPOXY FLOORING FINISHING FOR UNDP MCO,undp,GOODS,GOODS,NLP,False,0.0164
"Supply, install and commission of CCTV system system.",undp,GOODS,WORKS,Layer 1,False,1.0
Field Data Collection and Validation Expert,undp,CONSULTING,CONSULTING,NLP,False,0.1559
High performance laptops for the project beneficiaries,undp,GOODS,CONSULTING,NLP,True,0.013
"AGD - IC fortalecer Política Pública Vejez-interseccionalidad LGBTIQ+, Vichada",undp,Others,CONSULTING,NLP,True,0.0095
Angel Investment Ecosystem Development Services for Malawi (AESIS2026),undp,Others,CONSULTING,NLP,True,0.0303
Appel à manifestation d'interet/Siege Milieu Academique,undp,Others,CONSULTING,Layer 1,False,1.0
Asist. gestion permisos colecta y acopio macroalgas marinas y permisos de pesca,undp,Others,GOODS,NLP,False,0.0491
Avis d'appel à manifestation d'intérêt visant à pourvoir le siège de Point Focal,undp,Others,CONSULTING,Layer 1,False,1.0
Avis d'appel à Manifestation d'interet visant à promouvoir le siège point focal,undp,Others,CONSULTING,Layer 1,False,1.0
Branding and Fitting in the UNDP Innovation Center,undp,Others,CONSULTING,NLP,False,0.0404
Communication Strategy Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
CONSTRUCTION OF NEW STEEL PROTECTION FLIGHTING BULLETS ON THE WINDOWS UNCC,undp,WORKS,WORKS,Layer 1,False,1.0
Consultancy Assignment as UN Clinic Relief Physician-Two Position Retainer,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant for Data Visualization of Macroeconomic and Budgetary Indicators,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant for review and enhancement of the regulatory framework,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant(e) National(e) Evaluation Finale du projet PFAN,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Consultation sur le VIH et la contractualisation sociale, formation des élus",undp,CONSULTING,CONSULTING,NLP,False,0.047
DES -Diseño implementación y difusión de la estrategia de comunicaciones,undp,Others,CONSULTING,NLP,True,0.0041
Engagement of Firm to design Africansa flagship anchored #Agenda2063.,undp,Others,CONSULTING,NLP,False,0.0698
Financial Support and Empowerment for 100 Micro-enterprise,undp,Others,CONSULTING,NLP,False,0.1097
Individual Consultant – Wildlife Specialist,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Integrated Water Resource Management Expert,undp,CONSULTING,CONSULTING,NLP,False,0.0639
Intl. Consultant - Junior Knowledge Facilitation and communication Officer,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"ITB: LONG TERM AGREEMENT - EXTERNAL CLEANING, GARDENING & LANDSCAPING SERVICES",undp,WORKS,WORKS,NLP,False,0.0109
Long Term Agreement for Security Services for UNDP Bangladesh,undp,NON-CONSULTING,NON-CONSULTING,NLP,True,0.0215
Manifestations d'intérêt (AMI) pour les Matériels télécommunication et informat,undp,GOODS,CONSULTING,NLP,False,0.0446
Multimedia Production Services for MoHCC–UNDP C19RM Field Documentation Mission,undp,Others,NON-CONSULTING,Layer 1,False,1.0
National Consultant (Data Research Consultant),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Consultant to Develop Assessment Report,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Nationwide Incubation Cycles supported by Entrepreneurship Support Org,undp,Others,CONSULTING,NLP,False,0.0691
Natural Resource Management/Environment Specialist,undp,Others,CONSULTING,NLP,False,0.0831
Nature Finance Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
PAZ - Compra Equipos Forenses Lote1 Neiva-Huila y Lote 2 Yopal-Casanare,undp,GOODS,GOODS,NLP,False,0.0947
PAZ - IC - Consultoría para manejo de información SIRDEC,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
MFA/National Consultant Civil Works Engineer,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RECRUTEMENT 2 CONSULTANTS NAT POUR LE COMPTE DE L'UNITE ENVIRONNEMENT EN 2 LOTS,undp,CONSULTING,CONSULTING,NLP,False,0.0536
Recrutement d'un Consultant National collecte et analyse des politiques du PAJEG,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RFP - Elaboração do Plano Estratégico para a Inspeção Geral das Finanças em CV,undp,CONSULTING,CONSULTING,NLP,False,0.1555
012 - Development of a New System Architecture,undp,CONSULTING,WORKS,NLP,False,0.0389
Recrutement d'un cabinet pour la conduite de l'évaluation finale du,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
GT/Non-Cash Support Mechanism(s) for Waste Management,undp,NON-CONSULTING,NON-CONSULTING,NLP,True,0.0043
Design and develop an eLearning course,undp,CONSULTING,CONSULTING,NLP,False,0.058
Strengthening Customs outreach and trade facilitation,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply of Electric Three Wheelers,undp,GOODS,GOODS,Layer 1,False,1.0
Supply of fuel to UNDP and UN Agencies in Tajikistan on long term basis,undp,GOODS,GOODS,Layer 1,False,1.0
"Supply, installation and commissioning of industrial laundry equipment",undp,WORKS,WORKS,Layer 1,False,1.0
chain assessment of plastic waste circularity,undp,CONSULTING,WORKS,NLP,False,0.0209
Laboratorio Sulfato (IAL 3595/26),undp,Others,GOODS,NLP,False,0.0416
IC - Human Rights Research and Policy Expert,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Review,undp,CONSULTING,CONSULTING,NLP,False,0.1138
Hiring of Training Officer (Biomass Energy),undp,Others,CONSULTING,NLP,False,0.1076
Hiring of Roadmap Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC - Human Rights Digital Library Website developer and Design,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
REHABILITACIÓN NÚCLEO CARICUAO,undp,WORKS,WORKS,NLP,False,0.0315
REHABILITACIÓN NÚCLEO GUATIRE,undp,WORKS,WORKS,NLP,False,0.0724
REHABILITACIÓN NÚCLEO SAN JOSÉ DE BARLOVENTO,undp,WORKS,WORKS,NLP,False,0.1266
UNFPA - AQUISIÇÃO DE MATERIAIS PARA PARTOS E EQUIPAMENTOS,undp,GOODS,GOODS,Layer 1,False,1.0
Реконструкция здания медицинской лаборатории с перепланировкой в г. Алматы,undp,Others,WORKS,NLP,False,0.1259
3907-SDO-CUB-26-20 Vehiculo electrico para PROBIOCUBA,undp,Others,GOODS,NLP,False,0.0458
ACQUISITION DE PETITS EQUIPEMENTS DE POST PRODUCTION DE RIZ,undp,GOODS,GOODS,Layer 1,False,1.0
"Cabinet national _ cartographie, collecte des données plateforme suivi",undp,Others,CONSULTING,NLP,False,0.1224
"26-Capacity building,technical and BDS for 100 women-led or owned SME's",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultancy Firm for Operationalising the NJFP Talent Hub as Sustained Ecosystem,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Consultant to Assess and Strengthen Operational Risk,Information Security (CBCG)",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Consultant to Review and Develop a Job Grading, Pay Structure and Remuneration",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant(e) nat. Gouvern. loc./renf. cap. techn. communes de Tône1 et Cinkass1,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Development & Operationalization of Innovative Sustainable Financing Mechanism,undp,CONSULTING,CONSULTING,NLP,False,0.0861
Empresa de Engenharia e Arquitetura,undp,Others,WORKS,NLP,False,0.0416
Firme pour la réalisation d’une Etude d’Impact Environnemental et Social,undp,CONSULTING,CONSULTING,NLP,False,0.0756
Gender Performance audit indicators IC,undp,CONSULTING,CONSULTING,NLP,False,0.1396
IC- Un(e) consultant(e) international(e) pour une étude sur le secteur privé,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Intégration des données liées à l’infection au VIH dans le DEM,undp,Others,GOODS,NLP,False,0.0371
INTERNATIONAL INDIVIDUAL CONSULTANT FOR CPI/PPI SYSTEM ENHANCEMENT,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply and delivery of IT Equipment,undp,GOODS,GOODS,Layer 1,False,1.0
"Livelihood and Market Assessments for Inclusive Recovery in Derna, East Libya",undp,Others,CONSULTING,Layer 1,False,1.0
MAINTENANCE DES EQUIPEMENTS ET SYSTEME DE SECURITE _ Accord à long terme,undp,Others,NON-CONSULTING,NLP,True,0.0299
"Maintenance, Corrective Support, Spare Parts & Minor Works",undp,GOODS,WORKS,NLP,False,0.0301
Manifestations d'intérêt (AMI) pour les services d’ Impression et sérigraphie.,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Materials for the construction of the tyre shredding machine housing),undp,WORKS,WORKS,Layer 1,False,1.0
National Audiovisual Production Consultant (Biodiversity),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Communications and Advocacy Strategy Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Consultant for Place-to-Place Survey Bangladesh,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Consultant to Update a Protocol manual and Conduct Training of Protocol,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Physical Security Services for the UN Eco House in Podgorica,undp,NON-CONSULTING,WORKS,NLP,False,0.0128
Provision of Cisco SMART Maintenance Service and Meraki Enterprise Licenses,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Qu26_03087_GTF/Three national consultants to draft the new Law on thermal energy,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Réalisation 4 vidéos additionnelles des 50 ans du PNUD,undp,Others,CONSULTING,NLP,True,0.0041
RECRUTEMEN D'UN CONSULTANT EXPERT EN PSYCHOLOGIE,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RECRUTEMENT CONSULTANT EXPERT EN DIALOGUE ET COHESION SOCIALE,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RECRUTEMENT D’UNE INSTITUTION (MICRO) FINANCIÈRE POUR DES SUBVENTIONS EWASME,undp,Others,CONSULTING,NLP,False,0.1606
Recrutement de Société de Nettoyage ZIGUINCHOR,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
RECRUTEMENT IC NATIONAL POUR GENDER PORTFOLIO REVIEW,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Acuerdo largo plazo provisión servicio internet Casa Naciones Unidas,undp,Others,NON-CONSULTING,NLP,False,0.0433
Supply and Delivery of 4 units of Surveillance Aircraft Drone Enterprise,undp,GOODS,GOODS,Layer 1,False,1.0
National IC for SES Expert under LTA,undp,CONSULTING,CONSULTING,NLP,False,0.1097
National IC for GESI under LTA,undp,Others,CONSULTING,NLP,False,0.0489
/2026 - National IC for Project Evaluation Expert,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
PLGSP - National Expert for Madhesh Province,undp,CONSULTING,CONSULTING,NLP,False,0.0585
PLGSP - National Expert for Sudurpaschim Province,undp,CONSULTING,CONSULTING,NLP,False,0.0766
PLGSP - National Expert for Gandaki Province,undp,CONSULTING,CONSULTING,NLP,False,0.0789
PLGSP - National Expert for Lumbini Province,undp,CONSULTING,CONSULTING,NLP,False,0.0635
Implementación y validación en campo del bioproducto,undp,Others,CONSULTING,NLP,True,0.0073
"IC for Establishment of the National TFGBV Coordination Cell,",undp,Others,CONSULTING,NLP,True,0.0253
3880-CONSULTORÍA NACIONAL INCENTIVOS DAÑINOS A LA BIODIVERSIDAD BIOLÓGICA,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
3909-SDO-CUB-26-21 Tractor e Implementos para proyecto NAE,undp,Others,WORKS,NLP,False,0.0212
Acquisition de petits matériels destiné aux travaux de la route Malassa – Maloum,undp,WORKS,GOODS,Layer 1,False,1.0
Actualización de las Contribuciones Nacionales Determinadas (NDC 3.0.) de G.E,undp,Others,CONSULTING,NLP,False,0.0675
Consultant(e) National(e) en Génie Civil,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Consultant(e) National(e) en genre, cohésion sociale et gouvernance inclusive.",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant(e) National(e) Senior (e) en Génie Civil,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Data Governance Specialist,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Development of Feasibility Study on establishment of Green Jobs Training Centre,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Development of Sustainable Disclosure Framework,undp,CONSULTING,CONSULTING,NLP,False,0.0719
Fourniture de Kits d'électricité - construction métallique - maçonnerie - mécani,undp,WORKS,WORKS,NLP,False,0.0429
Gestion permisos colecta y acopio macroalgas marinas y permisos pesca.Changuillo,undp,Others,GOODS,NLP,False,0.0324
IC - Practical irrigation guide for small farms - Dominica,undp,WORKS,CONSULTING,Layer 1,False,1.0
IC 00802-2026 Municipal Financing Expert,undp,CONSULTING,CONSULTING,NLP,False,0.1272
IC for the Development of Plastics Circular Business Models in Iloilo,undp,CONSULTING,GOODS,NLP,False,0.0342
IC- Un(e) consultant(e) national(e) pour une étude sur le secteur privé,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
International Consultant on Developing a Risk Based Approach Joint Inspection Me,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
International Firm for Production and Delivery of Hardcover Books,undp,GOODS,GOODS,Layer 1,False,1.0
26 National carbon market roadmap,undp,CONSULTING,CONSULTING,NLP,False,0.0428
(ICT) Hardware and Software,undp,Others,GOODS,NLP,False,0.1157
"Local IC for the Simplification, Translation and Dissemination",undp,Others,GOODS,NLP,False,0.0171
Long-Term Agreement for Supply and Delivery of Hygiene Supplies,undp,GOODS,GOODS,Layer 1,False,1.0
LTA for Catering Services - UNDP Malaysia,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
MOBILIERS DESTINES AUX HOTELS DE VILLE DES COMMUNE DE OVAN ET BOUEE,undp,Others,NON-CONSULTING,NLP,False,0.053
National Consultant to Update and Review Public Service Commission Policy,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
NC on Innovative Urban Resilience Portfolios and Climate Adaptation Measures,undp,Others,WORKS,NLP,False,0.0456
Production of Videos under the IFAD Grant Projects,undp,Others,CONSULTING,NLP,True,0.0192
Quality Standards for Home & Community-Based Care in Uzbekistan,undp,Others,CONSULTING,NLP,True,0.0053
Recrutement d’un cabinet pour la mise en œuvre des plans d’aménagement,undp,WORKS,CONSULTING,Layer 1,False,1.0
001 - Supply and Installation of EV Charging Stations in Ulaanbaatar,undp,WORKS,WORKS,Layer 1,False,1.0
24 Conduct a Communications Campaign on Sustainable Transportation,undp,CONSULTING,NON-CONSULTING,NLP,True,0.0021
RFQ - Advanced Analytical Equipment (HPLC / LC MS Capable Platform),undp,GOODS,GOODS,NLP,False,0.0708
& Life‑Science Laboratory Equipment,undp,GOODS,GOODS,NLP,False,0.0865
RFQ: LOCAL Laptops,undp,GOODS,NON-CONSULTING,NLP,True,0.0053
Situational and Contextual Analysis of Chemical use and Waste Management,undp,NON-CONSULTING,CONSULTING,NLP,True,0.0103
Solarization & Improvement of Two DTCs in Ghazni and Gardiz,undp,Others,WORKS,NLP,False,0.0958
TRAVAUX DE CONSTRUCTION ET REHABILITATION DES INFRASTRUCTURES SANITAIRES ET EDUC,undp,WORKS,WORKS,Layer 1,False,1.0
PLGSP - National Expert for Bagmati Province,undp,CONSULTING,CONSULTING,NLP,False,0.0817
PLGSP - National Expert for Koshi Province,undp,CONSULTING,CONSULTING,NLP,False,0.0659
Adquisición de Uniformes Calzado y accesorios para el personal,undp,GOODS,GOODS,Layer 1,False,1.0
IC - National Action Plan on Business & Human Rights (NAP-BHR),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC - Judicial and Non-Judicial Guidelines on BHR,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Early Recovery Planning and Capacity Development Specialist,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Major refurbishment works,undp,WORKS,WORKS,Layer 1,False,1.0
GF- National Consultant Community Based DOTS/Family-Based DOTS i,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
3906-SDO-CUB-26-19 Vehículos eléctricos- Proyecto economia Circular,undp,Others,WORKS,NLP,False,0.0775
Acquisition Goodies pour les 50 ans du PNUD Comores.,undp,Others,GOODS,NLP,False,0.0528
Cabinet international pour accompagner les jeunes et femmes entrepreneurs en IA,undp,Others,CONSULTING,NLP,False,0.1608
Consultant National pour l'Évaluation finale du projet conjoint PNUD – Banque mo,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultor en Educación Musical – Coordinadora en Educación Especial,undp,Others,CONSULTING,Layer 1,False,1.0
Consultor Nacional para la actualización del informe de gases,undp,Others,CONSULTING,Layer 1,False,1.0
Digitalization Specialist,undp,Others,CONSULTING,NLP,False,0.0521
GEA-Equanomics Gender Equality Seal Expert,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
