id,portal,title,status,tokens,error,scope_summary,project_program,financing_instrument,bid_process_type,contract_duration_months,eligibility_summary,specific_areas,submission_process
3641,worldbank,Kananga Emergency Urban Resilience Project,ok,2352,,"Le consultant sera chargé de réaliser un diagnostic ciblé des capacités, d'élaborer un Plan de Renforcement des Capacités (RPC) et de mettre en œuvre ce plan. Les services sont destinés au Gouvernement Provincial, aux Organisations Locales et aux Parties Prenantes du PURUK à Kananga. Le consultant doit travailler en étroite collaboration avec l'Experte Urbaniste de l'UG PURUK. Les missions doivent être réalisées dans un délai de 6 mois. Les candidats doivent démontrer leurs qualifications et expériences requises.",PURUK — Crédit IDA 72160-ZR,loan,eoi_only,6,"• Diplôme supérieur en urbanisme ou domaine connexe
• Minimum 10 ans d'expérience en renforcement institutionnel
• 3 missions similaires dans les 5 dernières années
• Expérience en Afrique, idéalement en RDC","{""tags"": [""capacity_building""], ""lots"": null}","Les manifestations d'intérêt doivent être rédigées en français et accompagnées de documents justificatifs. Elles doivent être transmises au plus tard le 13 mai 2026 à 00h00, avec la mention de l'AMI N° ZR-PURUK-543683-CS-INDV. Les candidatures doivent inclure une lettre de motivation, un CV détaillé, des attestations de services rendus, une note méthodologique et une offre financière."
3711,worldbank,Burkina Faso Digital Acceleration Project,ok,2459,,"Le projet concerne le suivi-contrôle de la couverture de 750 sites des zones blanches au Burkina Faso. Les tâches principales incluent la géolocalisation des nouveaux sites, l'élaboration de rapports mensuels et trimestriels, et la réalisation de tests techniques des équipements de télécommunications. Le contrat est destiné à un cabinet qui devra assurer la conformité environnementale et sociale, ainsi que le suivi de la performance des opérateurs de télécommunications. Le bénéficiaire est le Gouvernement du Burkina Faso, à travers le projet PACTDIGITAL.",Projet d'accélération de la transformation digitale du Burkina Faso (PACTDIGITAL) — IDA Credit,loan,eoi_only,11,"• Expérience pertinente dans le suivi de projets similaires
• Références de prestations des 5 dernières années
• Capacité à travailler en groupement
• Justificatifs des expériences requises","{""tags"": [""digital""], ""lots"": null}","Les consultants doivent soumettre une lettre de manifestation d'intérêt, une présentation de la firme et des références de prestations. Les dossiers doivent être datés et signés, et inclure des justificatifs pour les expériences pertinentes. Les soumissions doivent être faites en format physique ou électronique, selon les instructions fournies dans les TDR."
3727,worldbank,Strengthening Resilience of the Agriculture Sector Project,ok,2085,,"The contract involves the construction of irrigation pumping stations in dehqan farms located in the Vakhsh and A. Jomi districts. Specifically, it includes two lots: Lot #1 focuses on the farms 'Davlatyori Mashal' and 'Ahmad-2016' in Vakhsh district, while Lot #2 pertains to the farm 'Kurbonali Hamidov' in A. Jomi district. The project aims to enhance agricultural resilience through improved irrigation infrastructure. Bidders are required to comply with the World Bank's procurement regulations. The beneficiary of this project is the State Institution 'Agriculture Entrepreneurship Development'.","Strengthening Resilience of the Agriculture Sector Project, additional financing — Grant IDA №: E-1450TJ",grant,single_envelope,,"• Open to all eligible bidders as defined in the Procurement Regulations
• Bidders must submit a hard copy of their quotation
• RFQ available in Russian upon official request","{""tags"": [""agriculture""], ""lots"": [{""lot_number"": 1, ""lot_ref"": null, ""description"": ""Construction of irrigation pumping stations in dehqan farms 'Davlatyori Mashal' Zarnisor Jamoat and 'Ahmad-2016' Vahdat Jamoat of Vakhsh district.""}, {""lot_number"": 2, ""lot_ref"": null, ""description"": ""Construction of irrigation pumping stations in dehqan farm 'Kurbonali Hamidov' Sayod Jamoat of A. Jomi district.""}]}","Bidders must submit their quotation in hard copy to the specified address before May 18, 2026, at 10:00. Late quotations will be rejected. The RFQ can be obtained in Russian by submitting an official letter."
3095,worldbank,Caribbean Efficient and Green-Energy Buildings Project (CEGEB),ok,2352,,"The project involves consulting services for Owner's Engineer Support for the Caribbean Efficient and Green-Energy Buildings (CEGEB) Project at the OECS Commission. The Owner's Engineer will provide technical, procurement, supervision support, and advisory services throughout the design, contracting, construction, and commissioning phases. The services will ensure high-quality implementation, adherence to schedule and budget, and compliance with environmental and social standards. The project covers multiple subprojects in Grenada, Guyana, and Saint Lucia, focusing on energy efficiency and renewable energy solutions in public buildings. The implementation period is set for two years, starting from August 2024.",Caribbean Efficient and Green-Energy Buildings Project — IDA-E4140,grant,eoi_only,24,"• Min 7 yrs experience as Owner's Engineer or Engineer's Representative
• Valid registration for at least 10 years
• Experience in retrofitting public buildings for energy efficiency
• Installation of solar PV systems on at least 10 buildings
• Experience with at least 2 similar World Bank projects
• At least 2 years working in Caribbean or SIDS","{""tags"": [""energy""], ""lots"": null}",Expressions of interest should be submitted via email. The EOI must not exceed thirty (30) pages and should include the firm's qualifications and experience. Consultants should indicate if they intend to form a joint venture or sub-consultancy.
2302,worldbank,Accelerating Transport and Trade Connectivity in Eastern South Asia – Bangladesh Phase 1 Project,ok,2079,,"The consulting services involve developing a Monitoring and Evaluation Framework and Plan for the Customs Modernization and Infrastructure Development Project. Key tasks include creating recording and reporting forms, capacity building in monitoring and evaluation, and preparing various reports. The consultant will also conduct field monitoring and assist in project evaluation. The services are expected to commence in July 2026 and will be provided to the National Board of Revenue (NBR) in Bangladesh.",Customs Modernization and Infrastructure Development Project — SD-17,,eoi_only,24,"• Master's degree in social science/statistics/business administration
• At least 5 years experience in monitoring and evaluation
• Experience with development agencies
• Excellent writing and analytical skills
• Good command in English and local languages","{""tags"": [""governance""], ""lots"": null}","Expressions of Interest must be delivered in written form to the specified address either in person, by mail, fax, or email by 01:00 PM (Bangladesh Standard Time) on May 18, 2026."
3021,worldbank,"Phase 3 Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Secto",ok,2304,,"The consulting services include conducting a Functional Review of key energy sector institutions in the West Bank—PENRA, PETL, and PERC. The review aims to improve efficiency, effectiveness, and accountability by assessing each institution's mandate, structure, governance, resources, and operations. It will identify strengths and weaknesses, map institutional roles, and compare performance against mandates. Recommendations for improvements will be provided, along with a phased reform roadmap outlining actions and KPIs. The assignment is expected to require around 300 working days.","Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Sector in the West Bank and Gaza (ASPIRE III) — Grant No.: TF-C7605",grant,eoi_only,10,"• Min 10 yrs experience in institutional development
• 2 similar assignments in last 5 yrs
• Deep understanding of energy sector
• Familiarity with legal frameworks
• Ability to mobilize multidisciplinary team
• Clear understanding of assignment's scope","{""tags"": [""energy""], ""lots"": null}","Expressions of interest must be delivered in written form to the specified address in person or by email. Consultants may associate with other firms, indicating if it is a joint venture or sub-consultancy."
3010,worldbank,Institutional Foundations to Improve Services For Health,ok,2499,,"The Ministry of Health invites sealed bids for the supply, installation, and maintenance of assorted medical equipment and medical & non-medical furniture for 12 primary healthcare facilities across 6 counties in Liberia. The deliverables include medical and non-medical furniture as well as medical equipment and instruments. Bidders can submit bids for multiple lots, but evaluations will be conducted on a lot-by-lot basis. The delivery period for the goods is set between 8 to 12 weeks. The project aims to improve health services in the specified counties.",Institutional Foundations to Improve Services for Health — Credit No. TFB9398,loan,single_envelope,,"• Open to all eligible bidders
• Must meet qualification requirements for respective lots
• Bids evaluated on a lot-by-lot basis","{""tags"": [""health""], ""lots"": [{""lot_number"": 1, ""lot_ref"": null, ""description"": ""Medical, Non-Medical Furniture & Other Items""}, {""lot_number"": 2, ""lot_ref"": null, ""description"": ""Medical Equipment & Instruments""}]}","Bids must be delivered physically to the specified address on or before May 18, 2026, at 1:00 PM. Electronic bidding is not permitted. Late bids will be rejected, and bids will be publicly opened at 1:15 PM on the same day in the presence of designated representatives."
3759,worldbank,Digital Transformation for Africa/ Western Africa Regional Digital Integration Program SOP1,ok,1965,,"The consulting services involve the development of the ECOWAS Regional Cybersecurity and Cybercrime Strategy for the period 2027–2032. The assignment is expected to last for six months. Consultants are required to demonstrate their qualifications and relevant experience in cybersecurity, ICT policy, or digital governance. The services will support the Economic Community of West African States (ECOWAS) Commission in enhancing regional cybersecurity frameworks. Interested firms must provide supporting documents to validate their experience and qualifications.",WESTERN AFRICA REGIONAL DIGITAL INTEGRATION PROGRAM (WARDIP) — Grant No.: E264-3W,grant,eoi_only,6,"• Min 10 yrs experience in cybersecurity, ICT policy, or digital governance
• Experience supporting national or regional institutions
• Track record of similar assignments
• Experience leading stakeholder consultations
• Adequate technical and administrative capacity","{""tags"": [""digital""], ""lots"": null}","Expressions of interest must be delivered in written form via e-mail by May 19, 2026, at 5:00 p.m. GMT+1. Interested consultants should ensure their submissions include supporting documents to demonstrate qualifications."
3731,worldbank,Regional Sahel Pastoralism Support Project II,ok,2315,,"Le projet consiste à recruter un bureau pour relancer l'élaboration du document de Stratégie Nationale d'Hydraulique Pastorale. Les consultants doivent démontrer leur expérience dans le domaine du pastoralisme, notamment à travers des références attestées concernant des marchés analogues. Les activités incluent l'élaboration de documents stratégiques, la coordination avec les parties prenantes, et la validation de la stratégie par des ateliers de réflexion. Le bureau d'études devra également maîtriser les lois et règles en vigueur dans le domaine du pastoralisme et des ressources naturelles. Le bénéficiaire est l'Unité de Coordination du Projet Régional d'appui au Pastoralisme au Sahel phase-2 (PRAPS-2-MR).",PRAPS-2-MR,,eoi_only,,"• Min 10 ans d'expérience dans le domaine du consulting
• Références attestées pour des marchés analogues
• Connaissance des lois et règles en vigueur dans le domaine du pastoralisme
• Capacité à travailler en coordination avec les parties prenantes
• Possibilité de s'associer pour renforcer les compétences","{""tags"": [""water_sanitation""], ""lots"": null}",Les manifestations d'intérêt doivent être envoyées en 04 exemplaires sous enveloppe fermée par courrier. Le dossier doit être présenté en français et porter la mention appropriée. Les soumissions doivent être faites au plus tard à 12 heures à l'adresse indiquée.
3777,worldbank,Host and Rohingya Enhancement of Lives Project,ok,2333,,"The consulting services involve the design and implementation of a strategic Communication and Awareness Program to support the development objectives of the Host and FDMN Enhancement of lives through Infrastructure Improvement Project (HELP). Key tasks include developing a communication strategy, implementing awareness campaigns, stakeholder engagement, behavior change communication, media relations, capacity building, and monitoring & evaluation. The geographic scope covers Cox's Bazar and Noakhali districts in Bangladesh. The assignment is expected to commence in August 2026 and will last for about 24 months. The beneficiary is the Local Government Engineering Department (LGED).",Host and FDMN Enhancement of lives through Infrastructure Improvement Project (HELP) — IDA-75450 (Project ID: P501274),grant,eoi_only,24,"• Min 10 yrs general experience of the firm
• Experience in similar assignments
• At least 5 nationwide campaigns in last 5 yrs
• Financial strength of the firm
• In-house staffing resources with relevant expertise","{""tags"": [""governance""], ""lots"": null}","Consultants should submit their expressions of interest along with supporting documents in electronic format. The submission must demonstrate qualifications and relevant experience. Joint ventures are permitted, but the roles and qualifications of each member must be clearly explained."
2344,worldbank,Ghana Digital Acceleration Project,ok,2213,,"The contract involves the reformation of the Public Records & Archives Administration Department through digitization. The main tasks include digitizing records and archives to enhance accessibility and efficiency. This project is located in the Republic of Ghana. Bidders must comply with the World Bank's Procurement Regulations for IPF Borrowers. The beneficiary of this project is the Ministry of Communications, Digital Technology and Innovations.",Ghana Digital Acceleration Project — GH 70960-IDA,loan,single_envelope,,"• Open to all eligible Bidders as defined in the Procurement Regulations
• Bids must include a Bid Security of GHC600,000.00 for bank guarantee or GHC1,800,000.00 for bonds
• Bidding document available upon payment of GHC1,000.00","{""tags"": [""digital""], ""lots"": null}","Bids must be delivered physically to the Ministry of Communication, Digital Technology and Innovation by 10:00 a.m. on 19th May, 2026. Electronic bidding is not permitted. Late bids will be rejected. Bids must be accompanied by the required Bid Security."
2341,worldbank,Forum Fisheries Agency: Pacific Islands Regional Oceanscape Program - Second Phase for Economic Resi,ok,1626,,The procurement involves the supply and installation of a CCTV system for the Forum Fisheries Agency (FFA) Headquarters. The selected supplier will be responsible for providing the necessary equipment and ensuring proper installation. This project is part of the Pacific Islands Regional Oceanscape Program aimed at enhancing economic resilience. The procurement must comply with the World Bank's procurement regulations. The deadline for submission is set for 19th May 2026.,Pacific Islands Regional Oceanscape Program – Second Phase for Economic Resilience (PROPER),grant,single_envelope,,,"{""tags"": [], ""lots"": null}","Quotations must be submitted by 19th May 2026, at 4.00pm (Solomon Islands time). The submission should be sent to the specified address in the notice. The format for submission is not explicitly stated, but it is implied that physical submission is required."
3643,worldbank,Regional Climate Resilience Program for Eastern and Southern Africa 1 Project (RCRP1),ok,2510,,"Le projet concerne l'acquisition et l'abonnement à Starlink pour le bénéfice de la DGSF dans le cadre du Projet Régional pour la Résilience Climatique (PRRC). Les soumissionnaires doivent avoir un magasin ou un point de vente physique pour fournir ces biens. Le délai de livraison maximum est de quinze jours, et toute offre dépassant ce délai sera déclarée non conforme. Les offres doivent être soumises en personne, et la procédure suit les règlements de passation des marchés de la Banque Mondiale. Les soumissionnaires doivent également tenir compte de l'impôt sur les marchés publics dans leur prix.","Projet Régional pour la résilience Climatique (PRRC) - P180171, IDA N°7831-MG",loan,single_envelope,,"• Magasin ou point de vente physique requis
• Soumissionnaires éligibles selon les règles de passation des marchés
• Délai de livraison maximum de 15 jours
• Tenir compte de l'impôt sur les marchés publics","{""tags"": null, ""lots"": null}","Les offres doivent être soumises en personne à l'adresse du Projet Régional pour la Résilience Climatique au plus tard le 19 Mai 2026 à 10 heures. La soumission électronique n'est pas autorisée, et les offres remises en retard ne seront pas acceptées."
2320,worldbank,"Georgia Relief and Recovery for Micro, Small, and Medium Enterprises",ok,2325,,"The National Bank of Georgia seeks consulting services to support the development and implementation of the Open Finance initiative in Georgia. The services include preparing a draft legislative and regulatory amendments package, ensuring consistency with EU regulations, and designing an Open Finance Model and Ecosystem Architecture. The assignment requires specialized international expertise and must be completed within six months from the contract signature. The successful firm will ensure legal soundness and technical robustness aligned with European regulatory developments.","Georgia Relief and Recovery for Micro, Small, and Medium Enterprises Project — P173975 (Loan No.: 9239-GE)",loan,eoi_only,6,"• Experience in Open Banking/Open Finance consulting
• At least 2 similar assignments completed
• Legal registration/incorporation details required
• Joint Venture (JV) information if applicable","{""tags"": [""financial_management""], ""lots"": null}",Interested Consultants should submit their expressions of interest demonstrating their qualifications and relevant experience. Submissions must include a brief description of the company background and a list of completed assignments. The submission should be in English.
3684,worldbank,Food Systems Resilience Program for Eastern and Southern Africa,ok,2307,,"Acquisition de matériels et accessoires informatiques pour l'École Supérieure des Sciences Agronomiques (ESSA) de l'Université d'Antananarivo. Les fournitures comprennent des ordinateurs de bureau, des machines serveurs, des imprimantes et divers accessoires informatiques. Le délai de livraison est de vingt jours calendaires après notification de l'ordre de service. Les offres doivent respecter ce délai pour être considérées conformes. Les soumissionnaires doivent être éligibles selon les critères définis par le Règlement de passation des marchés de la Banque Mondiale.","PROJET DE RESILIENCE DES SYSTEMES ALIMENTAIRES DE MADAGASCAR (FSRP) - Crédit IDA : N° 71570-MG, Don IDA : N° E0830-MG",grant,single_envelope,,"• Soumissionnaires éligibles selon le Règlement de passation des marchés
• Respect des délais de livraison
• Présence lors de l'ouverture des offres","{""tags"": [""agriculture""], ""lots"": [{""lot_number"": 1, ""lot_ref"": null, ""description"": ""Ordinateur de bureau""}, {""lot_number"": 2, ""lot_ref"": null, ""description"": ""Machine serveur""}, {""lot_number"": 3, ""lot_ref"": null, ""description"": ""Imprimantes""}, {""lot_number"": 4, ""lot_ref"": null, ""description"": ""Accessoires informatiques""}]}",Les offres doivent être soumises physiquement. La soumission par voie électronique n'est pas autorisée. Les offres remises en retard ne seront pas acceptées. Les soumissionnaires peuvent obtenir des informations et consulter le dossier de demande de cotation durant les heures de bureau.
3647,worldbank,Senegal: Natural Resources Management Project,ok,1887,,Sélection d'un cabinet en charge du contrôle technique des travaux de construction des bâtiments de la DEFCCS et de la DPN. Les consultants doivent démontrer leurs qualifications et leur expérience pertinente pour l'exécution des services. Cela inclut des références concernant l'exécution de contrats analogues et des expériences dans des conditions similaires. Le consultant retenu sera invité à soumettre des propositions technique et financière. Le projet est situé au Sénégal et est financé par un crédit IDA.,Projet de Gestion des Ressources Naturelles au Sénégal — P175915 (IDA 71890),loan,eoi_only,,"• Expérience pertinente pour l'exécution des services
• Références concernant l'exécution de contrats analogues
• Capacité technique et administrative du cabinet
• Possibilité de s'associer avec d'autres firmes","{""tags"": [""environment_social""], ""lots"": null}",Les manifestations d'intérêt doivent être déposées par courrier électronique au plus tard le mardi 19 mai 2026 à 10 heures TU. Les consultants peuvent s'associer avec d'autres firmes pour renforcer leurs compétences.
2318,worldbank,Forum Fisheries Agency: Pacific Islands Regional Oceanscape Program - Second Phase for Economic Resi,ok,1988,,"The assignment involves the development of the Economic Intelligence Unit (EIU) Database for the Forum Fisheries Agency (FFA). Key tasks include creating a secure, role-based database system, developing ETL systems, and implementing business intelligence platforms. The project aims to enhance national capacity and regional cooperation in managing offshore tuna fisheries sustainably. The work will be conducted in the Solomon Islands, with a focus on fisheries economics and natural resource data systems. The beneficiary of this project is the Forum Fisheries Agency.",FFA: Pacific Islands Regional Oceanscape Program - Second Phase for Economic Resilience — IDA-E2180,grant,eoi_only,,"• At least 10 years of experience in database architecture and data warehousing
• Proven experience developing ETL systems and business intelligence platforms
• Experience implementing secure, role-based database systems
• Strong experience in dashboard development and data visualization
• Experience in public sector or regional organizations
• Experience in fisheries economics or natural resource data systems (advantage)
• Experience working in the Pacific region (advantage)","{""tags"": [""governance""], ""lots"": null}",Expressions of interest must be delivered in written form by e-mail. The submission should be made by 4:00pm on 19th May 2026.
3649,worldbank,Mangroves for Coastal Resilience Project,ok,2780,,"Program ini bertujuan untuk mendukung reformasi kebijakan dan kelembagaan dalam pengelolaan hutan mangrove yang lebih efektif. Tugas utama termasuk desain, implementasi, dan pemantauan strategi komunikasi untuk meningkatkan kesadaran masyarakat dan melibatkan pemangku kepentingan. Kegiatan ini akan dilaksanakan di tingkat nasional dan subnasional, dengan fokus pada kelompok pesisir yang menjadi penerima manfaat. Konsultan diharapkan dapat memberikan dukungan teknis kepada tim komunikasi yang ada dan memastikan sinergi dalam pesan yang disampaikan. Durasi penugasan adalah 4 bulan.",MANGROVES FOR COASTAL RESILIENCE — P178009 (IBRD-93740),loan,eoi_only,4,"• Organisasi nirlaba terdaftar di Indonesia
• Memiliki dokumen legal yang lengkap
• Laporan keuangan dua tahun terakhir yang diaudit
• Kesanggupan menyediakan kantor operasional
• Pengalaman dengan lembaga pemerintah dalam strategi komunikasi
• Tenaga ahli berpengalaman di bidang terkait","{""tags"": [""environment_social""], ""lots"": null}","NGO yang berminat harus menyatakan minat dengan memberikan informasi tentang kualifikasi dan pengalaman yang relevan. Pengajuan dapat dilakukan secara elektronik, dan informasi lengkap dapat diunduh dari tautan yang disediakan."
2997,worldbank,Progestão Acre: Public Sector Management Efficiency,ok,2221,,"Contratação de empresa especializada para realização de diagnóstico e mapeamento das funcionalidades do Sistema de Conta Corrente Fiscal (SCCF). Os serviços incluem planejamento e organização do trabalho, diagnóstico do sistema atual, melhoria dos processos, proposta de nova estrutura organizacional e modelo de governança, e benchmarking. O projeto é destinado à Secretaria da Fazenda do Estado do Acre (SEFAZ/AC). A consultoria será selecionada com base na qualidade e no custo, conforme regulamento do Banco Mundial.","Programa de Sustentabilidade Fiscal, Eficiência e Eficácia do Gasto Público do Estado do Acre - PROGESTÃO-ACRE",loan,eoi_only,,"• Experiência em projetos semelhantes
• Capacidade gerencial e técnica
• Apresentação de portfólios
• Atenção ao Regulamento de Aquisições do Banco Mundial","{""tags"": null, ""lots"": null}",As manifestações de interesse devem ser enviadas por e-mail até o dia 19 de maio de 2026 ou entregues fisicamente até as 16h00min (horário de Brasília) do mesmo dia. O título da manifestação deve ser 'Manifestação de Interesse – Seleção de Consultores (Pessoa Jurídica) SBQC n°'.
3098,worldbank,Food Systems Resilience Program for Eastern and Southern Africa,ok,2487,,"The procurement involves the supply of sexed semen and synchronization hormones to enhance dairy genetics and reproductive efficiency in Ethiopia. The Ministry of Agriculture is seeking sealed bids for two lots: Lot 1 includes 10,256 doses of sexed semen, and Lot 2 includes 195,403 doses of synchronization hormones. Each lot has a delivery period of 60 days. Bidders must meet specific experience requirements related to similar contracts completed in the last five years. The successful bidder will be required to comply with the World Bank's procurement regulations.",Ethiopia Food System Resilience Program — IDA Credit – 71560-ET,loan,single_envelope,,"• At least 2 contracts for Lot 1, each ≥ US$ 250,000
• At least 2 contracts for Lot 2, each ≥ US$ 25,000
• For both lots, 2 contracts each ≥ US$ 275,000 or 1 contract ≥ US$ 550,000
• Joint ventures must meet requirements combined","{""tags"": [""agriculture""], ""lots"": [{""lot_number"": 1, ""lot_ref"": null, ""description"": ""Procurement of sexed-semen""}, {""lot_number"": 2, ""lot_ref"": null, ""description"": ""Procurement of Hormones for Synchronization""}]}","Bids must be delivered physically to the Ministry of Agriculture by May 19, 2026, at 10:00 A.M. Electronic bidding is not permitted. Bids must include a bid security as specified and will be opened publicly immediately after the submission deadline."
3036,worldbank,Health Enhancement and Resiliency in Tonga Project,ok,2399,,"The assignment involves providing consulting services for the development of a Disaster Management and Business Continuity Plan (DMBCP) for Prince Wellington Ngu Hospital in Tonga. The consultant will be responsible for assessing disaster risks, preparing emergency preparedness strategies, and ensuring business continuity within the health system. The project is part of the Health Enhancement and Resiliency in Tonga (HEART) Project, which aims to support health sector development. The consultant is expected to start in May 2026 and the assignment will last for four months. The Ministry of Health is the implementing agency and the beneficiary of this project.",Health Enhancement and Resiliency in Tonga (HEART) Project - P180965 / E377-TO,loan,eoi_only,4,"• At least a Masters in relevant areas
• Minimum 10 years relevant experience
• Proven experience in disaster risk management
• Experience in business continuity planning
• Experience in small island contexts
• Strong analytical and report-writing skills","{""tags"": [""health""], ""lots"": null}","Interested consultants must submit their Curriculum Vitae in pdf format, along with copies of academic qualifications and a statement of relevant experience. The submission should include a description of similar assignments, contact details of three referees, an outline work plan, and proposed time and travel requirements. Applications must be delivered electronically or in person by 16:00pm (Tongan Time) on Friday, 19 May 2026."
2607,worldbank,Montenegro Energy Sector Decarbonization Project,ok,2462,,"The procurement involves the supply of transformers for replacement, including various types and capacities such as 35/10 kV, 12.5 MVA and 4 MVA OLTC. The transformers are to be delivered in three-month tranches, with a maximum of 8 pieces per tranche, starting no earlier than the 13th month from contract effectiveness. Related services include site acceptance tests, installation support, and training. The final delivery location is the CEDIS Warehouse in Podgorica, Montenegro. The contract requires compliance with specific delivery and service standards.",Montenegro Energy Sector Decarbonization Project (MESDP) — Loan No: 97440-ME,loan,two_envelope,,"• Legal Capability
• Financial Capability: audited financial statements for last 3 years
• Specific Experience: 1 similar contract in last 5 years valued at least 6,000,000 EUR
• Manufacturing experience: 5 years in similar goods
• Technical Capacity: annual production capacity at least 3 times contract quantities","{""tags"": [""energy""], ""lots"": null}","Bids must be delivered in physical format to the specified address on or before May 19, 2026, at 10:00 hrs local time. Electronic bidding is not permitted. The outer bid envelopes must be marked 'ORIGINAL BID' and the inner envelopes 'TECHNICAL PART'. Late bids will be rejected."
2304,worldbank,Accelerating Transport and Trade Connectivity in Eastern South Asia – Bangladesh Phase 1 Project,ok,2257,,"The consultancy services required involve conducting an internal audit for the Accelerating Transport and Trade Connectivity in Eastern South Asia – Bangladesh Phase 1 Project. The internal audit will evaluate the effectiveness of risk management, control, and governance processes. The audit will assess the reliability and integrity of information, compliance with policies and regulations, and the economical use of resources. The audit must adhere to the International Standards of Internal Auditing. The work is expected to commence in July 2026 and will be conducted at the Project Implementation Unit (PIU) office.",Accelerating Transport and Trade Connectivity in Eastern South Asia – Bangladesh Phase 1 Project - Reference Number: SD-11,loan,eoi_only,66,"• Min 5 yrs experience in internal audit
• Team leader must have CIA qualification
• Experience in auditing development partner funded projects
• Qualified accountants in the audit team","{""tags"": [""governance""], ""lots"": null}","Consultants are invited to submit their expressions of interest, demonstrating their qualifications and relevant experience. Submissions should include the firm's incorporation documents, brochures, and descriptions of similar consultancy contracts. The submission must be in accordance with the guidelines provided in the Terms of Reference."
2275,worldbank,Recovery of Economic Activity for Liberian Informal Sector Employment Project,ok,1816,,"The contract involves the Liberia Household Social Registry Demand Driven LHSR Registration. The main tasks include supporting, validating, and evaluating a pilot that transitions the LHSR from a census-based model to a demand-driven registration system. The project is located in Liberia. Bidders must comply with the World Bank's procurement regulations. The beneficiary of this project is the Ministry of Gender, Children and Social Protection (MGCSP).",Recovery of Economic Activity for Liberian Informal Sector Employment — P174417,loan,single_envelope,,"• Open to all eligible Bidders as defined in the Procurement Regulations
• Must submit a Bid-Securing Declaration","{""tags"": [], ""lots"": null}","Bids must be delivered physically to the REALISE Project Finance Office by 10:00 a.m. on May 18, 2026. Electronic bidding is not permitted, and late bids will be rejected. Bids will be publicly opened at 10:02 a.m. on the same day."
2273,worldbank,Livestock Productivity and Resilience Support Project,ok,2895,,"The project involves the construction of solar powered boreholes, overhead tanks, and animal drinking points across 36 local government areas in Kano State, Nigeria. The main tasks include the renovation, upgrade, and remodeling of infrastructure to support livestock productivity and resilience. The project is funded by the International Development Association (IDA) and aims to enhance water supply for livestock. The construction period is set for 5 months. The beneficiary of this project is the Livestock Productivity and Resilience Support (L-PRES) Project, Kano State Coordination Office.",Livestock Productivity and Resilience Support (L-PRES) Project — P 160865-NG,loan,single_envelope,5,"• Eligible bidders must comply with World Bank's Procurement Regulations
• Bids must include a SEA and/or SH Declaration
• Bidders must have financial capability and cash flow as specified
• Bidders must have an average annual construction turnover as specified","{""tags"": [""water_sanitation"", ""agriculture""], ""lots"": [{""lot_number"": 1, ""lot_ref"": null, ""description"": ""Construction of 12 Solar powered Boreholes, 24 O/Head Tanks and 36 Drinking Points in 12 LGAs (Bagwai, Gwarzo, Karaye, Rogo, Shanono, Minjibir, Gezawa, Bichi, Wudil, Sumaila, Dambatta and Makoda) in Kano State""}, {""lot_number"": 2, ""lot_ref"": null, ""description"": ""Construction of 12 Solar powered Boreholes, 24 O/Head Tanks and 36 Drinking Points in 12 LGAs (Ghari, Tsanyawa, Tudun Wada, Doguwa, Warawa, Gabasawa, Dawakin Kudu, Dawakin Tofa, Tofa, Rimin Gado, Kabo and Kiru) in Kano State""}, {""lot_number"": 3, ""lot_ref"": null, ""description"": ""Construction of 12 Solar powered Boreholes, 24 O/Head Tanks and 36 Drinking Points in 12 LGAs (Madobi, Kumbotso, Kura, Garun Malam, Bebeji, Takai, Albasu, Garko, Bunkure, Rano, Kibiya and Ungogo) in Kano State""}]}","Bids must be delivered physically to the specified address on or before Tuesday, May 19th, at 12:00 pm (local time). Electronic bidding is not permitted. Bids will be publicly opened in the presence of bidders and designated representatives at the same address."
3016,worldbank,Regional Climate Resilience Program for Eastern and Southern Africa 1 Project (RCRP1),ok,2279,,"Le projet PRRC recherche un(e) Comptable pour l'Unité de Gestion du Projet. Le Comptable sera responsable de la validation des requêtes et factures, de la gestion des travaux comptables et de l'édition des états financiers. Il devra établir divers rapports conformes aux normes internationales et à la législation locale. Le candidat doit être disponible dans un délai d'un mois et posséder une bonne maîtrise du français. Le bénéficiaire est l'Unité de Gestion du Projet PRRC.",PROJET REGIONAL POUR LA RESILIENCE CLIMATIQUE — P180171 (IDA N°7326-MG/ IDA N°7831-MG),loan,eoi_only,,"• Diplôme universitaire Bac +4 en Finances et comptabilité
• 5 ans d'expérience en comptabilité, dont 3 ans en comptabilité de projet
• Bonne connaissance du PCG 2005
• Maîtrise d'un logiciel comptable et de Microsoft Office
• Maîtrise parfaite du français
• Disponibilité dans un mois","{""tags"": null, ""lots"": null}","Les candidats intéressés doivent demander par courriel la version électronique des termes de référence. Les manifestations d'intérêts doivent être déposées physiquement au plus tard le 19 Mai 2026 à 10 heures, en mentionnant la référence."
